,회사명,종목코드,상장일,상장유형,증권구분,상장주선인,액면가(원),공모가(원),공모금액(천원),최초상장주식수(주),1년후종가
59,이너스텍,109960,2009-11-13,신규상장,주권,미래에셋대우(주),500,10000,3750000,1875000,1059
60,휴맥스,115160,2009-11-16,재상장,주권,한국투자증권(주),500,0,0,22886157,17550
61,지케이엘,114090,2009-11-19,신규상장,주권,미래에셋증권(주),500,12000,222680412,61855670,21950
62,강원비앤이,114190,2009-11-20,신규상장,주권,KB증권(주),500,4700,6580000,5300000,2238
63,이원컴포텍,088290,2009-12-01,신규상장,주권,신영증권(주),500,2000,2903036,5000000,1479
64,중국엔진집단,900080,2009-12-04,신규상장,외국주권,신한금융투자(주),1,6000,60000000,40000000,2835
65,디오텍,108860,2009-12-10,신규상장,주권,한화투자증권(주),500,9000,6444000,3577166,4548
66,한전기술,052690,2009-12-14,신규상장,주권,유안타증권(주),10000,21600,165110400,38220000,97300
67,위메이드,112040,2009-12-18,신규상장,주권,엔에이치투자증권주식회사,500,62000,130200000,7140000,17050
68,멜파스,096640,2009-12-18,신규상장,주권,한국투자증권(주),500,43200,53752291,5149001,28000
69,KPX생명과학,114450,2009-12-22,신규상장,주권,미래에셋증권(주),500,6200,34100000,15000000,3770
70,동양피엔에프,104460,2009-12-22,신규상장,주권,현대차증권주식회사,500,12000,20400000,6500000,6391
71,ITX시큐리티,099520,2009-12-22,신규상장,주권,한화투자증권(주),500,6000,7758000,5733000,1901
72,GSMT,900070,2009-12-23,신규상장,외국주권,미래에셋증권(주),0,3200,18540864,31694020,1375
73,코디에스,080530,2010-01-05,신규상장,주권,DB금융투자주식회사,500,6000,6048972,4868354,10795
74,승화엘엠씨,111610,2010-01-06,신규상장,주권,한화투자증권(주),500,6700,8937800,5334000,298154
75,우노,114630,2010-01-15,신규상장,주권,SK증권(주),500,6500,16945500,10500000,3450
76,영흥철강,012160,2010-01-25,신규상장,주권,미래에셋대우(주),5000,12000,26984304,5621724,915
77,아세아텍,050860,2010-01-26,신규상장,주권,IBK투자증권(주),500,4100,18040000,17500000,2515
78,스타플렉스,115570,2010-01-27,신규상장,주권,대신증권(주),500,15000,21000000,5400000,8450
79,우리넷,115440,2010-01-27,신규상장,주권,한국투자증권(주),500,6700,6412972,5528580,2810
80,락앤락,115390,2010-01-28,신규상장,주권,한국투자증권(주),500,15700,157000000,50000000,34667
81,지역난방공사,071320,2010-01-29,신규상장,주권,삼성증권(주),5000,45000,130275000,11578744,73100
82,코오롱인더,120110,2010-02-01,재상장,주권,엔에이치투자증권주식회사,5000,0,0,19493050,70500
83,에이치디시에스,105070,2010-02-02,신규상장,주권,하이투자증권(주),500,15000,14999985,5600000,7980
84,에스이티아이,114570,2010-02-04,신규상장,주권,삼성증권(주),500,17500,32900000,4697433,7277
85,모베이스,101330,2010-02-04,신규상장,주권,미래에셋증권(주),500,13200,18942000,6000000,2242
86,차이나하오란,900090,2010-02-05,신규상장,외국주권,신한금융투자(주),1,4700,47000000,40000000,3064
87,하이소닉,106080,2010-02-09,신규상장,주권,한화투자증권(주),500,13000,10400000,4762169,11399
88,인포바인,115310,2010-02-09,신규상장,주권,한국투자증권(주),500,33000,14850000,2970000,20400
89,이미지스,115610,2010-02-26,신규상장,주권,교보증권(주),500,6000,9960000,4913521,5490
90,대우증권스팩,121910,2010-03-03,신규상장,주권,미래에셋대우(주),1000,3500,87500000,27007000,3510
91,미래에셋스팩1호,121950,2010-03-12,신규상장,주권,미래에셋증권(주),500,1500,20000001,13933334,1595
92,대한생명,088350,2010-03-17,신규상장,주권,미래에셋대우(주),5000,8200,1780466000,868530000,7370
93,현대증권스팩1호,122350,2010-03-19,신규상장,주권,KB증권(주),100,6000,20004000,3859000,3078
94,동양밸류스팩,122290,2010-03-25,신규상장,주권,유안타증권(주),500,10000,45000000,4940000,9730
95,디지탈아리아,115450,2010-03-26,신규상장,주권,교보증권(주),500,11000,11510895,4182000,8430
96,차이나킹,900120,2010-03-31,신규상장,외국주권,엔에이치투자증권주식회사,0,3700,88800000,80000000,3322
97,케이씨에스,115500,2010-04-14,신규상장,주권,삼성증권(주),500,1600,5760000,12000000,2085
98,뉴프라이드,900100,2010-04-21,신규상장,외국주권,(주)상상인증권,0,7500,13875000,7000000,1055
99,동아체육용품,900110,2010-04-23,신규상장,외국주권,교보증권(주),1,5000,29995000,23000000,2146
100,신세계푸드,031440,2010-04-29,이전상장,주권,하나금융투자(주),5000,0,0,3428600,88100
101,우리스팩1호,122750,2010-05-11,신규상장,주권,엔에이치투자증권주식회사,5000,10000,35000000,3980000,9280
102,삼성생명,032830,2010-05-12,신규상장,주권,"한국투자증권(주),골드만삭스증권 서울지점",5000,110000,4888116200,200000000,98000
103,만도,060980,2010-05-19,신규상장,주권,"엔에이치투자증권주식회사,제이피모간증권회사 서울지점",5000,83000,498000000,18214033,81808
104,신한스팩1호,122690,2010-05-25,신규상장,주권,신한금융투자(주),100,5000,37500000,8250000,5389
105,모바일리더,100030,2010-05-25,신규상장,주권,한화투자증권(주),500,15000,9000000,2998000,8660
106,인피니트헬스케어,071200,2010-05-26,신규상장,주권,삼성증권(주),500,5200,15600000,23470467,8390
107,에스제이엠,123700,2010-05-31,재상장,주권,미래에셋증권(주),500,0,0,8603265,5097
108,한국화장품,123690,2010-06-01,재상장,주권,엔에이치투자증권주식회사,500,0,0,16068000,2390
