,회사명,종목코드,상장일,상장유형,증권구분,상장주선인,액면가(원),공모가(원),공모금액(천원),최초상장주식수(주),1년후종가
252,삼양사,145990,2011-12-05,재상장,주권,미래에셋증권(주),5000,0,0,4426573,51600
253,사파이어테크놀로지,123260,2011-12-05,신규상장,주권,한국투자증권(주),500,65000,52650000,5995369,28735
254,씨유메디칼,115480,2011-12-15,신규상장,주권,KB증권(주),500,12000,9600000,4780806,5567
255,인터지스,129260,2011-12-16,신규상장,주권,삼성증권(주),1000,10000,58350000,13138560,3870
256,서암기계공업,100660,2011-12-19,신규상장,주권,한국투자증권(주),500,3800,11970000,12600000,3430
257,시큐브,131090,2011-12-21,신규상장,주권,SK증권(주),500,4900,4458226,6200000,555
258,나이스디앤비,130580,2011-12-22,신규상장,주권,대신증권(주),500,1700,6664000,15400000,2310
259,GS리테일,007070,2011-12-23,신규상장,주권,"한국투자증권(주),엔에이치투자증권주식회사",1000,19500,300300000,77000000,29300
260,디엔에이링크,127120,2011-12-26,신규상장,주권,미래에셋증권(주),500,7700,5069819,4115930,10265
261,원익머트리얼즈,104830,2011-12-28,신규상장,주권,유안타증권(주),500,27000,45029277,5800000,17825
262,동아팜텍,140410,2012-01-20,신규상장,주권,엔에이치투자증권주식회사,500,24000,54408000,8068000,20200
263,남화토건,091590,2012-01-31,신규상장,주권,현대차증권주식회사,500,3000,9000000,11740000,4930
264,제룡산업,147830,2012-02-13,재상장,주권,유안타증권(주),500,0,0,7932320,4078
265,뉴로스,126870,2012-02-15,신규상장,주권,교보증권(주),500,8500,4250000,4191242,3341
266,사람인에이치알,143240,2012-02-21,신규상장,주권,KB증권(주),500,5000,12150350,8800000,13164
267,휴비스,079980,2012-02-23,신규상장,주권,미래에셋대우(주),5000,12200,200141000,34500000,10750
268,빛샘전자,072950,2012-03-21,신규상장,주권,미래에셋증권(주),500,4400,3432000,5000000,4977
269,코오롱머티리얼,144620,2012-04-05,신규상장,주권,엔에이치투자증권주식회사,5000,14500,43500000,9000000,2140
270,SBI모기지,950100,2012-04-30,신규상장,주식예탁증권,하나금융투자(주),0,7000,49861000,23741000,13250
271,비아트론,141000,2012-05-04,신규상장,주권,한국투자증권(주),500,15900,18285000,9931870,19600
272,사조씨푸드,014710,2012-06-29,신규상장,주권,미래에셋증권(주),5000,10600,63880794,17218543,5700
273,피엔티,137400,2012-07-06,신규상장,주권,하나금융투자(주),500,17000,13712846,3209547,3549
274,디지탈옵틱,106520,2012-07-13,신규상장,주권,신한금융투자(주),500,11500,15807900,5393177,13478
275,네이블커뮤니케이션즈,153460,2012-07-19,신규상장,주권,한국투자증권(주),500,9000,5400000,4326601,12503
276,엠씨넥스,097520,2012-07-25,신규상장,주권,한국투자증권(주),500,15000,12000000,5749271,6025
277,우양에이치씨,101970,2012-07-26,신규상장,주권,한화투자증권(주),500,5500,13915000,12090183,5000
278,AJ렌터카,068400,2012-07-27,신규상장,주권,한국투자증권(주),500,7000,38850000,22146300,12650
279,나노스,151910,2012-08-02,신규상장,주권,한화투자증권(주),500,7000,10500000,7316920,7968
280,모다정보통신,149940,2012-09-25,신규상장,주권,키움증권(주),500,7000,4900000,4908000,4600
281,코이즈,121850,2012-09-27,신규상장,주권,한국투자증권(주),500,7500,8850000,6156166,4786
282,아바텍,149950,2012-11-06,신규상장,주권,한국투자증권(주),500,6300,18585000,16000000,11000
283,씨제이헬로비전,037560,2012-11-09,신규상장,주권,"미래에셋대우(주),하이투자증권(주),제이피모간증권회사 서울지점",2500,16000,293210336,69262895,21145
284,와이엠씨,155650,2012-11-15,신규상장,주권,엔에이치투자증권주식회사,500,6000,11677914,9731593,2819
285,맥스로텍,141070,2012-11-16,신규상장,주권,미래에셋증권(주),500,7000,7000000,5714280,2019
286,지엠비코리아,013870,2012-11-20,신규상장,주권,신한금융투자(주),500,6000,34313160,19072280,8800
287,디젠스,113810,2012-11-22,신규상장,주권,엔에이치투자증권주식회사,500,1800,9000000,18250000,1244
288,우리로광통신,046970,2012-11-27,신규상장,주권,미래에셋증권(주),500,10300,21504103,6742878,2805
289,SBI액시즈,950110,2012-12-17,신규상장,주식예탁증권,하나금융투자(주),0,3600,19229040,21365400,2720
290,CS엘쏠라,159910,2012-12-27,신규상장,주권,키움증권(주),500,10000,12000000,8074763,1492
291,포티스,141020,2013-01-29,신규상장,주권,하나금융투자(주),500,3900,4853550,4977833,1795
292,아이센스,099190,2013-01-30,신규상장,주권,엔에이치투자증권주식회사,500,19000,17100000,8969634,30029
293,우리이앤엘,153490,2013-02-05,신규상장,주권,KB증권(주),500,4900,44100000,32000000,3582
294,아이원스,114810,2013-02-07,신규상장,주권,엔에이치투자증권주식회사,500,4500,9884160,8500000,3244
295,지디,155960,2013-02-13,신규상장,주권,미래에셋증권(주),500,18000,43200000,11934061,11866
296,제로투세븐,159580,2013-02-19,신규상장,주권,KB증권(주),500,8300,24900000,11540000,10900
297,코렌텍,104540,2013-03-05,신규상장,주권,한국투자증권(주),500,16000,19200000,7883661,23028
298,윈팩,097800,2013-03-07,신규상장,주권,키움증권(주),500,4000,10109624,14200000,1820
299,세호로보트,158310,2013-04-03,신규상장,주권,IBK투자증권(주),500,7800,8580000,4221000,9880
300,삼목강업,158380,2013-04-30,신규상장,주권,교보증권(주),1000,2600,8320000,10200000,5280
301,레고켐바이오,141080,2013-05-10,신규상장,주권,한국투자증권(주),500,15500,21700000,5771250,10259
302,DSR,155660,2013-05-15,신규상장,주권,엔에이치투자증권주식회사,500,4000,16000000,16000000,4040
303,엑세스바이오,950130,2013-05-30,신규상장,주식예탁증권,"유진투자증권(주),엔에이치투자증권주식회사",0,4500,22888431,26000000,12550
304,나스미디어,089600,2013-07-17,신규상장,주권,케이비투자증권(주),500,8800,16887200,8246432,16656
305,KG ETS,151860,2013-07-24,신규상장,주권,엔에이치투자증권주식회사,500,3800,30827120,36000000,5200
306,파이오링크,170790,2013-08-01,신규상장,주권,케이프투자증권주식회사,500,10500,12600000,5142330,11300
307,금호엔티,130500,2013-08-02,신규상장,주권,미래에셋증권(주),500,3100,7440000,7000000,3222
308,아미코젠,092040,2013-09-12,신규상장,주권,엔에이치투자증권주식회사,500,25000,15762975,4125000,24284
309,지엔씨에너지,119850,2013-10-02,신규상장,주권,교보증권(주),500,6000,7200000,4346667,3900
310,엘티씨,170920,2013-10-08,신규상장,주권,키움증권(주),500,20500,26728474,6550000,15550
311,파수닷컴,150900,2013-10-18,신규상장,주권,삼성증권(주),500,5800,9280000,7929695,8550
312,테스나,131970,2013-10-22,신규상장,주권,키움증권(주),500,13500,9767952,6850000,6491
313,현대로템,064350,2013-10-30,신규상장,주권,미래에셋대우(주),5000,23000,622380000,85000000,21850
314,(주)내츄럴엔도텍,168330,2013-10-31,신규상장,주권,키움증권(주),500,40000,21200000,5260120,56100
315,해성옵틱스,076610,2013-11-06,신규상장,주권,엔에이치투자증권주식회사,500,6600,21615330,16375000,3566
316,에이씨티,138360,2013-11-08,신규상장,주권,한국투자증권(주),500,8100,8505000,6000000,3947
317,미동전자통신,161570,2013-11-13,신규상장,주권,엔에이치투자증권주식회사,500,20000,19417460,3000000,5200
318,램테크놀러지,171010,2013-11-18,신규상장,주권,한국투자증권(주),500,3900,4875000,6826647,2846
319,라이온켐텍,171120,2013-11-19,신규상장,주권,하나금융투자(주),500,12500,37011563,10163425,13515
320,우리스팩2호,182360,2013-11-21,신규상장,주권,엔에이치투자증권주식회사,100,2000,13000000,7000000,2335
321,신송홀딩스,006880,2013-11-21,신규상장,주권,엔에이치투자증권주식회사,500,6500,23066277,11828858,8620
322,디엠티,134580,2013-11-26,신규상장,주권,하나금융투자(주),500,5700,6113632,7500000,3371
323,엔브이에이치코리아,067570,2013-12-03,신규상장,주권,미래에셋증권(주),500,4500,38250000,28722222,4150
324,현대공업,170030,2013-12-04,신규상장,주권,신영증권(주),500,7500,22525763,10000000,6000
325,알티캐스트,085810,2013-12-06,신규상장,주권,한국투자증권(주),500,8500,17000000,18194997,9900
326,인트로메딕,150840,2013-12-19,신규상장,주권,한국투자증권(주),500,6000,4200000,6952178,6925
327,기가레인,049080,2013-12-19,신규상장,주권,하나금융투자(주),500,5500,21786023,15963213,5238
328,키움스팩2호,184230,2013-12-20,신규상장,주권,키움증권(주),100,2000,13000000,7000000,2220
329,솔루에타,154040,2013-12-27,신규상장,주권,키움증권(주),500,24000,24000000,5129925,7300
330,이지웰페어,090850,2013-12-27,신규상장,주권,한국투자증권(주),500,4400,4400000,9893000,5225
331,한국정보인증,053300,2014-02-04,신규상장,주권,KB증권(주),500,1800,9720000,26965000,3485
332,인터파크INT,108790,2014-02-06,신규상장,주권,미래에셋대우(주),500,7700,52414462,32430190,23900
333,오이솔루션,138080,2014-02-27,신규상장,주권,대신증권(주),500,10000,7769450,5179610,12592
334,케이비제2호스팩,192250,2014-04-28,신규상장,주권,케이비투자증권(주),100,2000,14800000,7715100,2565
335,유진스팩1호,187790,2014-05-08,신규상장,주권,유진투자증권(주),100,2000,10000000,5500000,6311
336,BGF리테일,027410,2014-05-19,신규상장,주권,삼성증권(주),1000,41000,252561230,24640080,34537
337,캐스텍코리아,071850,2014-05-27,신규상장,주권,한국투자증권(주),500,6500,16250000,12373089,7500
338,하나머스트스팩,194610,2014-06-10,신규상장,주권,하나금융투자(주),100,2000,5000000,2710000,2810
339,트루윈,105550,2014-07-11,신규상장,주권,하나금융투자(주),500,10500,12600000,6336000,9016
340,화인베스틸,133820,2014-07-22,신규상장,주권,KB증권(주),500,4700,30237732,32100000,3310
341,미래에셋제2호스팩,200130,2014-07-23,신규상장,주권,미래에셋증권(주),100,2000,13000000,7000000,41458
342,아진엑스텍,059120,2014-07-24,이전상장,주권,신한금융투자(주),500,7000,7000000,5630000,4796
343,윈하이텍,192390,2014-07-25,신규상장,주권,엔에이치투자증권주식회사,500,8300,21912000,6600300,6480
344,창해에탄올,004650,2014-07-30,신규상장,주권,엔에이치투자증권주식회사,500,8300,15777229,6175230,34550
345,덕신하우징,090410,2014-08-01,신규상장,주권,KB증권(주),500,13000,26000000,8012000,1622
346,파버나인,177830,2014-08-04,신규상장,주권,"한국투자증권(주),케이비투자증권(주)",500,12500,13750000,4083000,3990
347,쿠쿠전자,192400,2014-08-06,신규상장,주권,엔에이치투자증권주식회사,500,104000,254887360,9803360,223705
348,신화콘텍,187270,2014-08-08,신규상장,주권,KB증권(주),500,9100,14560000,7469661,4898
349,우리스팩3호,198440,2014-08-13,신규상장,주권,엔에이치투자증권주식회사,100,2000,13000000,7000000,2259
350,감마누,192410,2014-08-14,신규상장,주권,한국투자증권(주),500,11000,3960000,2406800,28166
351,케이비제3호스팩,203690,2014-09-30,신규상장,주권,케이비투자증권(주),100,2000,20000000,10520000,5500
352,데브시스터즈,194480,2014-10-06,신규상장,주권,엔에이치투자증권주식회사,500,53000,143100000,10800000,31550
353,메디아나,041920,2014-10-07,이전상장,주권,케이비투자증권(주),500,6200,8928000,7220780,15335
354,신한제2호SPAC,203650,2014-10-13,신규상장,주권,신한금융투자(주),100,2000,10000000,5500000,1980
355,대우스팩2호,204440,2014-10-22,신규상장,주권,미래에셋대우(주),100,2000,10500000,5750000,2019
356,영우디에스피,143540,2014-10-29,신규상장,주권,키움증권(주),500,5000,6500000,4606182,2593
357,테라셈,182690,2014-10-30,이전상장,주권,한국투자증권(주),500,3000,5400000,13966340,3730
358,슈피겐코리아,192440,2014-11-05,신규상장,주권,삼성증권(주),500,27500,50875000,6216363,77000
359,테고사이언스,191420,2014-11-06,신규상장,주권,엔에이치투자증권주식회사,500,13500,7191437,3560000,14500
360,교보위드스팩,205100,2014-11-07,신규상장,주권,교보증권(주),100,2000,7800000,4200000,3610
361,현대에이블스팩1호,204760,2014-11-10,신규상장,주권,KB증권(주),100,2000,10000000,5525000,2050
362,케이비제4호스팩,205500,2014-11-12,신규상장,주권,케이비투자증권(주),100,2000,20000000,10520000,9500
363,삼성에스디에스,018260,2014-11-14,신규상장,주권,"한국투자증권(주),골드만삭스증권 서울지점,제이피모간증권회사 서울지점",500,190000,1158924760,77377800,242500
364,디에이테크놀로지,196490,2014-11-19,신규상장,주권,대신증권(주),500,6600,9464400,5243700,9525
365,유안타제1호스팩,204620,2014-11-19,신규상장,주권,유안타증권(주),100,2000,11000000,6000000,5227
366,IBKS제2호스팩,204840,2014-11-20,신규상장,주권,IBK투자증권(주),100,2000,8000000,4500000,2658
367,파티게임즈,194510,2014-11-21,신규상장,주권,엔에이치투자증권주식회사,500,13000,12480000,4592400,15150
368,케이티비스팩1호,204650,2014-11-24,신규상장,주권,KTB투자증권(주),100,2000,10000000,5500000,2030
369,텔콘,200230,2014-11-24,신규상장,주권,대신증권(주),500,14500,20300000,5022000,672
370,씨에스윈드,112610,2014-11-27,신규상장,주권,"삼성증권(주),미래에셋증권(주)",500,43500,256650000,17285715,11198
371,하이제2호스팩,205470,2014-12-01,신규상장,주권,하이투자증권(주),100,2000,10000000,5500000,2512
372,에프엔씨,173940,2014-12-04,신규상장,주권,유진투자증권(주),500,28000,39200000,6302915,22650
373,대창스틸,140520,2014-12-05,신규상장,주권,하나금융투자(주),500,2500,5500000,14566000,3990
374,SKC코오롱PI,178920,2014-12-08,신규상장,주권,한국투자증권(주),500,8000,102400000,29366322,11350
375,한국2호스팩,206400,2014-12-10,신규상장,주권,한국투자증권(주),100,2000,10000000,5500000,8210
376,동부스팩2호,207760,2014-12-12,신규상장,주권,DB금융투자주식회사,100,2000,10000000,5500000,5700
377,알테오젠,196170,2014-12-12,신규상장,주권,한국투자증권(주),500,26000,23400000,5579333,5559
378,비씨월드제약,200780,2014-12-15,신규상장,주권,"대신증권(주),미래에셋대우(주)",200,15700,25999859,5855723,23830
379,에이디테크놀로지,200710,2014-12-16,신규상장,주권,한국투자증권(주),500,15000,15000000,4009695,5455
380,랩지노믹스,084650,2014-12-16,이전상장,주권,한국투자증권(주),500,13200,3300000,3966276,14871
381,하나머스트2호스팩,208370,2014-12-17,신규상장,주권,하나금융투자(주),100,2000,10000000,5400000,11325
382,엘아이지스팩 2호,208140,2014-12-17,신규상장,주권,케이프투자증권주식회사,100,2000,5000000,2710000,1795
383,우리SL스팩,207720,2014-12-17,신규상장,주권,엔에이치투자증권주식회사,100,2000,4000000,2505000,2035
384,디티앤씨,187220,2014-12-17,신규상장,주권,키움증권(주),500,18500,39534500,9437374,17200
385,하이로닉,149980,2014-12-17,이전상장,주권,신한금융투자(주),500,51000,28050000,2774729,14000
386,녹십자엠에스,142280,2014-12-17,신규상장,주권,한국투자증권(주),500,6000,12000000,9560000,11839
387,제일모직,028260,2014-12-18,신규상장,주권,미래에셋대우(주),100,53000,1523747350,135000000,147500
388,뉴,160550,2014-12-23,신규상장,주권,엔에이치투자증권주식회사,500,16300,33764831,13203053,10100
389,아이티센,124500,2014-12-23,이전상장,주권,IBK투자증권(주),500,7500,7500000,4311520,5030
390,아스트,067390,2014-12-24,신규상장,주권,케이비투자증권(주),500,9500,27119470,12516293,21112
391,오킨스전자,080580,2014-12-24,신규상장,주권,미래에셋증권(주),500,7100,13010920,6200000,3925
392,교보3호스팩,208710,2014-12-24,신규상장,주권,교보증권(주),100,2000,10000000,5100000,2175
393,케이비제5호스팩,208350,2014-12-24,신규상장,주권,케이비투자증권(주),100,2000,9082200,5220000,11013
394,서전기전,189860,2014-12-24,신규상장,주권,DB금융투자주식회사,500,6500,7884500,4849390,3680
395,하나머스트3호스팩,208870,2014-12-24,신규상장,주권,하나금융투자(주),100,2000,4500000,2360000,2005
396,하이셈,200470,2014-12-26,신규상장,주권,미래에셋대우(주),500,1500,6534000,17553680,1760
397,휴메딕스,200670,2014-12-26,신규상장,주권,한국투자증권(주),500,28000,28000000,5689031,49558
398,엔에이치스팩2호,206640,2014-12-29,신규상장,주권,엔에이치투자증권(주)(농협),100,2000,8540000,4600000,31393
399,현대드림스팩2호,204630,2014-12-29,신규상장,주권,KB증권(주),100,2000,13000000,6815000,2280
400,영백씨엠,193250,2014-12-29,신규상장,주권,하나금융투자(주),500,5500,3704250,2693705,2280
401,국일신동,060480,2014-12-29,신규상장,주권,IBK투자증권(주),500,1700,5100000,11090000,2240
402,케이비제6호스팩,208640,2014-12-29,신규상장,주권,케이비투자증권(주),100,2000,30000000,16000000,1733
403,골든브릿지제2호스팩,206660,2015-02-05,신규상장,주권,(주)상상인증권,100,2000,7000000,3900000,1990
404,포시에스,189690,2015-02-11,신규상장,주권,DB금융투자주식회사,500,9100,11830000,6212799,5351
405,세화아이엠씨,145210,2015-03-19,신규상장,주권,한국투자증권(주),500,16300,21361150,11335440,2411
406,케이비제7호스팩,214270,2015-03-25,신규상장,주권,케이비투자증권(주),100,2000,8000000,5350000,3012
407,엔에스쇼핑,138250,2015-03-27,신규상장,주권,"한국투자증권(주),하나금융투자(주),미래에셋증권(주)",5000,235000,206372535,3369600,19000
408,SK1호스팩,207930,2015-03-31,신규상장,주권,SK증권(주),100,2000,10000000,5500000,1970
409,케이티비스팩2호,214150,2015-04-03,신규상장,주권,KTB투자증권(주),100,2000,10000000,5500000,4000
410,유지인트,195990,2015-04-13,신규상장,주권,한국투자증권(주),500,15000,30900000,10314800,2045
411,한화에이스스팩1호,214680,2015-04-20,신규상장,주권,한화투자증권(주),100,2000,8200000,4433000,3144
412,하나머스트4호스팩,215100,2015-04-22,신규상장,주권,하나금융투자(주),100,2000,5500000,2800000,4000
413,유진에이씨피씨스팩2호,215090,2015-04-28,신규상장,주권,유진투자증권(주),100,2000,10000000,5500000,2595
414,엔에이치스펙5호,215790,2015-05-08,신규상장,주권,엔에이치투자증권주식회사,100,2000,13000000,7000000,7936
415,대우SBI스팩1호,215480,2015-05-13,신규상장,주권,미래에셋대우(주),100,2000,5500000,3535000,1000
416,한화MGI스팩,215380,2015-05-18,신규상장,주권,한화투자증권(주),100,2000,10000000,5500000,5124
417,대우스팩3호,215580,2015-05-19,신규상장,주권,미래에셋대우(주),100,2000,10000000,5410000,2555
418,미래에셋제3호스팩,215750,2015-05-22,신규상장,주권,미래에셋증권(주),100,2000,11400000,6100000,1933
419,제노포커스,187420,2015-05-29,신규상장,주권,한국투자증권(주),500,11000,13200000,6754667,13525
420,한화ACPC스팩,217620,2015-06-10,신규상장,주권,한화투자증권(주),100,2000,13500000,7450000,1955
421,엔에이치스팩7호,217810,2015-06-12,신규상장,주권,엔에이치투자증권주식회사,100,2000,8400000,4830000,1960
422,픽셀플러스,087600,2015-06-12,신규상장,주권,한국투자증권(주),500,30000,24000000,8166558,16650
423,하이제3호스팩,217500,2015-06-16,신규상장,주권,하이투자증권(주),100,2000,8500000,4750000,2104
424,싸이맥스,160980,2015-06-17,신규상장,주권,대신증권(주),500,16300,25951230,5354863,6911
425,하나머스트5호스팩,218150,2015-06-18,신규상장,주권,하나금융투자(주),100,2000,7000000,3530000,3930
426,대신밸런스제1호스팩,217270,2015-06-18,신규상장,주권,대신증권(주),100,2000,10000000,5124000,10500
427,베셀,177350,2015-06-19,이전상장,주권,키움증권(주),500,9000,5400000,4119655,4598
428,에스케이디앤디,210980,2015-06-23,신규상장,주권,"신한금융투자(주),대신증권(주)",1000,26000,76700000,9870000,37754
429,세미콘라이트,214310,2015-06-25,신규상장,주권,엔에이치투자증권주식회사,500,11300,11758305,5200000,13885
430,이베스트스팩2호,217600,2015-06-26,신규상장,주권,이베스트투자증권(주),100,2000,13000000,7000000,1965
431,코아스템,166480,2015-06-26,신규상장,주권,한국투자증권(주),500,16000,40000000,15717440,16000
432,에스엔텍,160600,2015-06-26,신규상장,주권,케이비투자증권(주),500,6500,7150000,5813000,4749
433,경보제약,214390,2015-06-29,신규상장,주권,엔에이치투자증권주식회사,500,15000,143441250,23906860,20200
434,엔에이치스팩8호,218410,2015-06-30,신규상장,주권,엔에이치투자증권주식회사,100,2000,13000000,6830000,9719
435,민앤지,214180,2015-06-30,신규상장,주권,신한금융투자(주),500,28000,39530400,5682814,15325
436,유테크,178780,2015-06-30,신규상장,주권,대신증권(주),500,9000,9090000,4915300,7750
437,동운아나텍,094170,2015-06-30,신규상장,주권,키움증권(주),500,10000,5000000,5577000,4292
438,골든브릿지제3호스팩,219580,2015-06-30,신규상장,주권,(주)상상인증권,100,2000,8800000,4900000,1965
439,키움스팩3호,218710,2015-07-06,신규상장,주권,키움증권(주),100,2000,13000000,6700000,2005
440,미래에셋생명,085620,2015-07-08,신규상장,주권,"삼성증권(주),다이와증권캐피탈마켓코리아(주),씨티그룹글로벌마켓증권(주)",5000,7500,340499820,145180000,4185
441,토니모리,214420,2015-07-10,신규상장,주권,미래에셋대우(주),200,32000,94080000,11760000,32933
442,유안타제2호스팩,219960,2015-07-17,신규상장,주권,유안타증권(주),100,2000,12000000,6500000,2015
443,이노션,214320,2015-07-17,신규상장,주권,엔에이치투자증권주식회사,500,68000,340068000,20000000,75600
444,한화에이스스팩2호,219860,2015-07-20,신규상장,주권,한화투자증권(주),100,2000,13250000,7123000,2020
445,SK2호스팩,219550,2015-07-22,신규상장,주권,SK증권(주),100,2000,12500000,6350000,2612
446,펩트론,087010,2015-07-22,신규상장,주권,엔에이치투자증권주식회사,500,16000,13041952,5092001,23345
447,파마리서치프로덕트,214450,2015-07-24,신규상장,주권,"엔에이치투자증권주식회사,IBK투자증권(주),하나금융투자(주)",500,55000,123750000,8814498,53700
448,엘아이지이에스스팩,220260,2015-07-27,신규상장,주권,케이프투자증권주식회사,100,2000,5000000,3020000,2812
449,로지시스,067730,2015-07-29,신규상장,주권,삼성증권(주),500,2500,7935125,9340922,4425
450,아이쓰리시스템,214430,2015-07-30,신규상장,주권,키움증권(주),500,36000,18000000,3317400,31004
451,아시아경제,127710,2015-07-31,신규상장,주권,한국투자증권(주),500,3600,30600000,25244030,6750
452,칩스앤미디어,094360,2015-08-05,이전상장,주권,한국투자증권(주),500,10500,6825000,3397702,7927
453,케이비제8호스팩,222390,2015-08-05,신규상장,주권,케이비투자증권(주),100,2000,20000000,10310000,2070
454,미래에셋제4호스팩,222420,2015-08-06,신규상장,주권,미래에셋증권(주),100,2000,6100000,3300000,3880
455,흥국에프엔비,189980,2015-08-07,신규상장,주권,엔에이치투자증권주식회사,500,20000,36000000,6716250,3842
456,교보4호스팩,222810,2015-08-13,신규상장,주권,교보증권(주),100,2000,6000000,3100000,2200
457,파인텍,131760,2015-08-17,신규상장,주권,엔에이치투자증권주식회사,500,10500,11189336,4997621,5438
458,현대드림3호스팩,221950,2015-08-21,신규상장,주권,KB증권(주),100,2000,13000000,6815000,1995
459,AJ네트웍스,095570,2015-08-21,신규상장,주권,한국투자증권(주),5000,34300,78890000,9364459,7340
460,웹스,196700,2015-08-24,신규상장,주권,한국투자증권(주),500,7200,11520000,6254000,3035
461,교보5호스팩,223040,2015-08-27,신규상장,주권,교보증권(주),100,2000,10200000,5430000,1990
462,케이티비스팩3호,220630,2015-08-28,신규상장,주권,KTB투자증권(주),100,2000,12500000,6750000,3010
463,한국3호스팩,222080,2015-09-02,신규상장,주권,한국투자증권(주),100,2000,13000000,7000000,2290
464,유진스팩3호,221200,2015-09-09,신규상장,주권,유진투자증권(주),100,2000,11500000,6750000,2015
465,인포마크,175140,2015-09-23,신규상장,주권,삼성증권(주),500,14000,12180000,3503708,13100
466,아이콘트롤스,039570,2015-09-24,신규상장,주권,미래에셋대우(주),500,32000,83592640,8230000,15250
467,동일제강,002690,2015-09-24,신규상장,주권,엔에이치투자증권주식회사,500,3000,15000000,15000000,3310
468,엔에이치스팩9호,225570,2015-09-25,신규상장,주권,엔에이치투자증권주식회사,100,2000,15500000,9050000,10605
469,타이거일렉,219130,2015-09-25,신규상장,주권,한국투자증권(주),500,6000,9258000,5589290,5130
470,제너셈,217190,2015-09-25,신규상장,주권,하나금융투자(주),500,10500,13650000,4384587,5450
471,LIG넥스원,079550,2015-10-02,신규상장,주권,엔에이치투자증권주식회사,5000,76000,524400000,22000000,85200
472,신영스팩2호,225590,2015-10-05,신규상장,주권,신영증권(주),100,2000,10000000,5105000,2066
473,동부스팩3호,226440,2015-10-06,신규상장,주권,DB금융투자주식회사,100,2000,8300000,4450000,2208
474,IBKS제3호스팩,225430,2015-10-08,신규상장,주권,IBK투자증권(주),100,2000,8000000,4500000,2448
475,에치디프로,214870,2015-10-13,신규상장,주권,대신증권(주),500,8900,13494260,5744821,2810
476,이베스트스팩3호,225440,2015-10-19,신규상장,주권,이베스트투자증권(주),100,2000,8000000,4100000,1990
477,엑시콘,092870,2015-10-22,이전상장,주권,IBK투자증권(주),500,10000,20000000,8883500,10844
478,현대드림4호스팩,226360,2015-10-22,신규상장,주권,KB증권(주),100,2000,10000000,5315000,2607
479,에이티젠,182400,2015-10-23,신규상장,주권,엔에이치투자증권주식회사,500,17000,17123335,10072552,17825
480,키움스팩4호,226850,2015-10-29,신규상장,주권,키움증권(주),100,2000,20000000,10204000,1985
481,연우,115960,2015-11-02,신규상장,주권,"미래에셋대우(주),현대차증권주식회사",500,25200,60623136,11552600,42250
482,더블유게임즈,192080,2015-11-04,신규상장,주권,"한국투자증권(주),키움증권(주),미래에셋대우(주)",500,65000,277709250,17089768,32850
483,에이치엠씨3호스팩,226340,2015-11-05,신규상장,주권,현대차증권주식회사,100,2000,12000000,6500000,2300
484,제주항공,089590,2015-11-06,신규상장,주권,엔에이치투자증권주식회사,5000,30000,165000000,25906758,27902
485,금호에이치티,214330,2015-11-11,신규상장,주권,엔에이치투자증권주식회사,500,10000,44959500,9765000,2015
486,나무가,190510,2015-11-12,신규상장,주권,교보증권(주),500,37000,32486000,2924383,25600
487,유앤아이,056090,2015-11-12,신규상장,주권,키움증권(주),500,30000,45000000,7037087,19500
488,아이진,185490,2015-11-16,이전상장,주권,엔에이치투자증권주식회사,500,13500,20050970,10000000,10350
489,케어젠,214370,2015-11-17,신규상장,주권,KB증권(주),500,110000,178200000,10710000,76800
490,네오오토,212560,2015-11-18,신규상장,주권,신영증권(주),500,12000,18594168,5250000,6293
491,골든브릿지제4호스팩,227950,2015-11-18,신규상장,주권,(주)상상인증권,100,2000,12500000,7550000,2011
492,케이디켐,221980,2015-11-19,신규상장,주권,대신증권(주),500,16000,18560000,4034800,18000
493,매직마이크로,127160,2015-11-19,이전상장,주권,미래에셋증권(주),500,5500,8800000,6222125,932
494,리드,197210,2015-11-20,이전상장,주권,미래에셋대우(주),500,5100,3986058,4621038,8718
495,엠지메드,180400,2015-11-20,이전상장,주권,신한금융투자(주),500,40000,14000000,2074820,5876
496,하이즈항공,221840,2015-11-25,신규상장,주권,케이비투자증권(주),500,18000,78750000,17446167,7740
497,세진중공업,075580,2015-11-30,신규상장,주권,"신한금융투자(주),미래에셋대우(주)",500,3500,20054475,38292720,1971
498,미래테크놀로지,213090,2015-12-01,신규상장,주권,KB증권(주),500,16100,24150000,5500000,9380
499,엔에스,217820,2015-12-07,신규상장,주권,케이비투자증권(주),500,8000,7943880,4900000,4170
500,멕아이씨에스,058110,2015-12-14,신규상장,주권,키움증권(주),500,4500,2475000,5361500,2574
501,예스티,122640,2015-12-16,이전상장,주권,엔에이치투자증권주식회사,500,14500,15587500,4327321,11386
502,뉴트리바이오텍,222040,2015-12-16,신규상장,주권,DB금융투자주식회사,500,21000,43680000,10314000,28600
503,하나금융7호SPAC,230240,2015-12-16,신규상장,주권,하나금융투자(주),100,2000,12893860,8000000,10273
504,보광산업,225530,2015-12-17,신규상장,주권,하나금융투자(주),500,4000,12000000,11490000,9081
505,파크시스템스,140860,2015-12-17,신규상장,주권,케이비투자증권(주),500,9000,9000000,5931155,17250
506,동부제4호스팩,230490,2015-12-18,신규상장,주권,DB금융투자주식회사,100,2000,10000000,5300000,1965
507,메가엠디,133750,2015-12-18,신규상장,주권,엔에이치투자증권주식회사,500,3000,16117392,20401568,4530
